Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt1427298,no,no,no,no,no,no,5,"Eddie McGee, Trip Hope, Elizabeth Ann Koshak, Gabriel Cullen, Kristina Plisko"
tt1428538,no,no,no,no,no,no,6,"Georg Korpas, Fritz Roth, Thomas Scharff, Matthias Ziesing, Kathrin Kühnel, Jeppe Beck Laursen, Ingrid Bolsø Berdal, Pihla Viitala, Tommy Wirkola, Cedric Eich, Maja Aro, Thomas Mann, Tolga Degirmen, Lucy Ella von Scheele, Nikeata Thompson"
tt1430612,no,no,no,no,no,no,5,"Bruce Dinsmore, Carlo Rota, Jonathan Vanger, David Belle, Nick McMahon, Jade Hassouné"
tt14315756,no,yes,no,no,no,no,6,"Philemon Chambers, Pina Di Blasi, Alexandra Beaton, Michael Mast, Florence Cassius de Linval"
tt1450321,no,no,no,no,no,no,7,"Alexander Denk, Kate Dickie, Dr. Alban, Robin Laing, Shauna Macdonald, James McAvoy, Spero Stamboulis, Trudie Styler, Irvine Welsh, Jaakko Salovaara, Eliot Sumner, Billy Ocean, Sanjeev Kohli, Paul Campbell, Joy McAvoy, Darude, Emun Elliott, China Soul, Gato Scatena, Ashley McFarlane, Duffy"
tt1454468,no,yes,no,no,no,no,7,"Sandra Bullock, Christopher DeFaria, Neil Corbould, Adrian Getley, David Heyman, Peter Weireter, Bruce Winant, Ben Thompson, Richard Baker, Amy Warren, Lisa Hannigan"
tt1458169,no,yes,no,no,no,no,5,"Thomas Downey, Jason George, Chris McGinn, Angus Sutherland, Malea Rose, Ava Knighten Santana, Taryn Terrell, Sage Correa"
tt14592064,no,no,no,no,no,no,6,"Bill Cowher, Sean Payton, Jason Witten, Tracy Wolfson, Ronald Joe Vasquez"
tt1468846,no,no,no,no,no,no,5,Michael C. Mahon
tt1472584,no,no,no,no,no,no,4,"Morgan Benoit, Richard Wes Howren, Josh Brener, Ana Villafañe"
tt1476425,no,yes,no,no,no,no,8,"Kiva Dawson, George Katt, Rich Bryant, Waylon Payne, Ryan Curtis"
tt1480285,no,no,no,no,no,no,4,"John McConnell, Josh Berger, Erin O'Brien"
tt1480295,no,yes,no,no,no,no,5,"Paul Bednarz, Elizabeth Olin, Svetoslav Svilenov"
tt1483324,no,no,no,no,no,no,6,"Daniella Garcia, Mirjana Jokovic, Stephen Borrello, Spencer Rocco Lofranco"
tt1486834,no,no,no,no,no,no,6,"Yvann Thibaudeau, Maureen Hughes, Jonathan Cherry, Megan Park, Zoe Kazan, Tracy Bonham, A.C. Newman, Meghan Heffern, Tamara Duarte"
tt14878948,no,yes,no,yes,no,no,3,"Aslihan Karalar, Nazan Diper, Baran Bölükbasi"
tt1487931,yes,no,no,no,no,no,5,Jacquie Trowell
tt15085802,no,no,no,no,yes,no,7,Tim Donaghy
tt15198608,no,yes,no,no,no,no,4,"Nellie Thalbach, Klaus Steinbacher, Yung Ngo, Robert Finster, Livia Matthes"
tt1524575,no,no,no,no,no,no,4,"John Patrick Amedori, Pushkar Pyne, Donnie Smith, Koko Masako, Olivia Taylor Dudley, Alex Sparrow, Yvette Leiva, Montanna Gillis"
tt1524930,no,no,no,no,no,no,6,"Ben Jensen, John Francis Daley, Elizabeth Fendrick, Samm Levine, Kaitlin Olson, R.F. Daley, Julian Casablancas, Ed Helms, Tiësto, Skyler Gisondo, Tim Heidecker, Victor Anderson, Elizabeth Gillies, Nadine Avola, Hannah Jeter"
tt1528854,no,no,no,no,no,no,6,"Dexter Holland, Alessandra Ambrosio, Lane Smith Jr., Scarlett Estevez, Owen Vaccaro, Grayson Thorne Kilpatrick"
tt1531924,no,yes,no,no,no,no,6,Nikki M. James
tt1540011,no,no,no,no,no,no,5,"Wes Robinson, Valorie Curry, Corbin Reid"
tt1542768,no,no,no,no,no,no,5,Andrew Howard
tt1544608,no,yes,no,no,no,no,5,"Caterina Murino, Amy Lee, Edward Dring"
tt1545660,no,no,no,no,no,no,5,"Ryan Kwanten, Brian Posehn, Summer Glau, Danny Pudi, Brett Gipson"
tt1551630,no,no,no,no,no,no,5,"Russell M. Jaeger, Vincent Weir"
tt1552224,no,no,no,no,no,no,4,"Thor Bishopric, Tove Christensen, Petr Vlasak, Eric Cullet, Andrew Dasz, Tomer Oz"
tt1560220,no,no,no,no,no,no,6,"Lili Estefan, Rachel Luttrell, Marc Graue, Shawn Bernal, Jevocas Green, Avan Jogia, Zoey Deutch"
